pair,treatment,control
1,689,657
2,656,623
3,668,652
4,660,654
5,679,658
6,664,646
7,664,600
8,647,640
9,694,605
10,633,635
11,653,642
12,664,600
13,647,640
14,694,605
15,633,635
16,653,642
17,707,669
18,740,650
19,745,651
20,745,651
21,652,627
22,649,656
23,676,642
24,699,698
25,696,648
26,712,676
27,708,657
28,749,692
29,690,621
30,690,668
31,701,667
32,685,647
33,751,693
34,647,635
35,647,644
36,720,665
37,718,689
38,718,642
39,696,673
40,658,675
41,680,641
42,700,662
43,718,705
44,679,656
45,742,652
46,728,578
47,677,678
48,696,670
49,711,647
50,670,632
51,651,661
52,711,670
53,710,694
54,640,641
55,655,589
56,624,603
57,682,642
58,687,612
59,653,603
60,653,593
61,660,672
62,668,612
63,679,678
64,638,593
65,649,602
